date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests
6/2/2022,Alameda,County,1685886,0,285819,0,1870,,6950122,,355256,1734,285785,5,1873,21556
6/2/2022,Alpine,County,1117,0,128,0,0,,3020,,81,0,128,0,0,10
6/2/2022,Amador,County,38531,0,8826,0,87,,223704,,10467,34,8775,0,87,373
6/2/2022,Butte,County,217769,0,34136,0,427,,468668,,38088,70,34129,0,427,986
6/2/2022,Calaveras,County,44289,0,7528,0,121,,104727,,9080,23,7525,1,121,221
6/2/2022,California,State,40129160,0,8988766,0,90627,,169911821,,11114398,33617,8989279,96,90815,736677
6/2/2022,Colusa,County,22593,0,3483,0,21,,37218,,3369,8,3484,0,21,63
6/2/2022,Contra Costa,County,1160099,0,206765,0,1306,,3804740,,243713,1012,206711,0,1310,10088
6/2/2022,Del Norte,County,27558,0,6208,0,51,,207215,,7275,18,6206,1,52,364
6/2/2022,El Dorado,County,193098,0,28239,0,213,,417671,,31026,108,28241,0,214,1105
6/2/2022,Fresno,County,1032227,0,237938,0,2764,,2754776,,296179,578,237945,1,2766,7022
6/2/2022,Glenn,County,29348,0,5063,0,42,,49091,,5368,4,5063,0,48,144
6/2/2022,Humboldt,County,134098,0,18434,0,147,,346835,,22702,62,18433,0,147,752
6/2/2022,Imperial,County,191649,0,56699,0,941,,607888,,74109,245,56690,3,941,1667
6/2/2022,Inyo,County,18453,0,4177,0,56,,39018,,3905,5,4176,0,56,67
6/2/2022,Kern,County,927251,0,195931,0,2331,,2479389,,230750,425,195863,2,2338,6402
6/2/2022,Kings,County,156444,0,52607,0,447,,756060,,63820,106,52597,0,447,1416
6/2/2022,Lake,County,64871,0,11068,0,137,,157740,,13621,40,11064,0,137,359
6/2/2022,Lassen,County,30065,0,9107,0,62,,274573,,11141,23,9106,0,64,687
6/2/2022,Los Angeles,County,10257557,0,2846726,0,31896,,67340123,,3604823,10133,2846989,17,31899,472177
6/2/2022,Madera,County,160089,0,38220,0,368,,553138,,44685,73,38188,0,372,952
6/2/2022,Marin,County,260800,0,37874,0,294,,1025010,,45008,225,37879,1,294,2598
6/2/2022,Mariposa,County,17795,0,2558,0,28,,49459,,3135,8,2557,0,30,56
6/2/2022,Mendocino,County,88439,0,13743,0,125,,224813,,16029,46,13738,0,125,458
6/2/2022,Merced,County,287420,0,63775,0,825,,731139,,76202,119,63756,1,825,1154
6/2/2022,Modoc,County,9475,0,759,0,7,,9322,,444,4,759,0,8,13
6/2/2022,Mono,County,13961,0,3037,0,6,,37579,,3648,2,3037,0,6,28
6/2/2022,Monterey,County,448732,0,82549,0,738,,1260995,,96628,236,82451,1,738,3205
6/2/2022,Napa,County,139652,0,27687,0,141,,547064,,31926,106,27686,0,143,842
6/2/2022,Nevada,County,98710,0,16720,0,127,,246120,,18811,35,16728,0,127,452
