submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
6/5/2022,CA,"9,647,488","8,989,279","658,209",0,0,"90,815",,,0,0,6/6/2022 13:41,Agree,Not agree
6/4/2022,CA,"9,647,488","8,989,279","658,209",0,0,"90,815",,,0,0,6/6/2022 13:00,Agree,Not agree
6/3/2022,CA,"9,647,488","8,989,279","658,209","44,985","11,368","90,815",,,96,0,6/4/2022 13:27,Agree,Not agree
6/2/2022,CA,"9,602,503","8,955,662","646,841",0,0,"90,719",,,0,0,6/3/2022 13:21,Agree,Not agree
6/1/2022,CA,"9,602,503","8,955,662","646,841",0,0,"90,719",,,0,0,6/2/2022 13:14,Agree,Not agree
5/31/2022,CA,"9,602,503","8,955,662","646,841","59,488",0,"90,719",,,107,0,6/1/2022 13:35,Agree,Not agree
5/30/2022,CA,"9,543,015","8,896,174","646,841",0,0,"90,612",,,0,0,5/31/2022 13:20,Agree,Not agree
5/29/2022,CA,"9,543,015","8,896,174","646,841",0,0,"90,612",,,0,0,5/30/2022 13:20,Agree,Not agree
5/28/2022,CA,"9,543,015","8,896,174","646,841",0,0,"90,612",,,0,0,5/30/2022 12:41,Agree,Not agree
5/27/2022,CA,"9,543,015","8,896,174","646,841","49,691","7,015","90,612",,,124,0,5/28/2022 13:19,Agree,Not agree
5/26/2022,CA,"9,493,324","8,853,498","639,826",0,0,"90,488",,,0,0,5/27/2022 13:29,Agree,Not agree
5/25/2022,CA,"9,493,324","8,853,498","639,826",0,0,"90,488",,,0,0,5/26/2022 13:18,Agree,Not agree
5/24/2022,CA,"9,493,324","8,853,498","639,826","55,608",0,"90,488",,,106,0,5/25/2022 13:28,Agree,Not agree
5/23/2022,CA,"9,437,716","8,797,890","639,826",0,0,"90,382",,,0,0,5/24/2022 13:28,Agree,Not agree
5/22/2022,CA,"9,437,716","8,797,890","639,826",0,0,"90,382",,,0,0,5/23/2022 13:52,Agree,Not agree
5/21/2022,CA,"9,437,716","8,797,890","639,826",0,0,"90,382",,,0,0,5/23/2022 13:14,Agree,Not agree
5/20/2022,CA,"9,437,716","8,797,890","639,826","52,405","12,386","90,382",,,163,0,5/21/2022 13:16,Agree,Not agree
5/19/2022,CA,"9,385,311","8,757,871","627,440",0,0,"90,219",,,0,0,5/20/2022 13:21,Agree,Not agree
