submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
6/6/2022,AK,"253,184",,,0,0,"1,252",,,0,0,6/7/2022 13:16,N/A,N/A
6/6/2022,AL,"1,321,892","950,248","371,644","1,184",508,"19,676","15,102","4,574",0,0,6/7/2022 13:16,Agree,Agree
6/6/2022,AR,"846,119",,,173,0,"11,505",,,7,0,6/7/2022 13:16,Not agree,Not agree
6/6/2022,AS,"6,192",,,0,0,31,,,0,0,6/7/2022 13:16,,
6/6/2022,AZ,"2,062,669","1,820,476","242,193",0,0,"30,332","26,369","3,963",0,0,6/7/2022 13:16,Agree,Agree
6/6/2022,CA,"9,647,488","8,989,279","658,209",0,0,"90,815",,,0,0,6/7/2022 13:16,Agree,Not agree
6/6/2022,CO,"1,461,127","1,328,689","132,438","5,395",-144,"12,572","11,090","1,482",5,-8,6/7/2022 13:16,Agree,Agree
6/6/2022,CT,"813,676","729,263","84,413","1,744",250,"10,971","8,975","1,996",-2,-1,6/7/2022 13:16,Agree,Agree
6/6/2022,DC,"151,652",,,647,0,"1,347",,,0,0,6/7/2022 13:16,,
6/6/2022,DE,"278,609","253,517","25,092",943,74,"2,961","2,660",301,0,0,6/7/2022 13:16,Agree,Agree
6/6/2022,FL,"6,235,311",,,"11,798","4,131","74,719",,,0,0,6/6/2022 0:00,Not agree,Not agree
6/6/2022,FSM,31,31,0,0,0,0,0,0,0,0,6/7/2022 13:16,Agree,Agree
6/6/2022,GA,"2,571,104","1,992,974","578,130",0,0,"38,242","31,836","6,406",0,0,6/7/2022 13:16,Agree,Agree
6/6/2022,GU,"49,568",,,95,0,366,,,1,0,6/7/2022 13:16,Not agree,Not agree
6/6/2022,HI,"275,631",,,0,0,"1,445",,,0,0,6/7/2022 13:16,Not agree,Not agree
6/6/2022,IA,"783,259",,,"1,296",325,"9,603",,,0,0,6/7/2022 13:16,Not agree,Not agree
6/6/2022,ID,"453,550","354,910","98,640",632,135,"4,943","4,027",916,1,0,6/7/2022 13:16,Agree,Agree
6/6/2022,IL,"3,332,780","3,332,780",0,"13,798",0,"38,222","33,865","4,357",34,22,6/7/2022 13:16,Agree,Agree
6/6/2022,IN,"1,742,261",,,"3,418",0,"23,746","22,785",961,6,0,6/7/2022 13:16,Not agree,Agree
6/6/2022,KS,"789,127","592,508","196,619",0,0,"8,943",,,0,0,6/7/2022 13:16,Agree,N/A
6/6/2022,KY,"1,365,683","931,060","434,623","3,939","1,586","16,009","13,820","2,189",22,6,6/7/2022 13:16,Agree,Agree
6/6/2022,LA,"1,198,174",,,"1,984",509,"17,345","14,778","2,567",4,1,6/7/2022 13:16,Not agree,Agree
6/6/2022,MA,"1,885,034","1,730,279","154,755","5,517",457,"20,670","19,480","1,190",7,1,6/7/2022 13:16,Agree,Agree
6/6/2022,MD,"1,098,271",,,0,0,"14,634","14,367",267,0,0,6/7/2022 13:16,N/A,Agree
